Iso,SignedP,,,,,,
AIPGENE28036,-0.220636262,,,,,,
AIPGENE25097,-6,,,,,,
AIPGENE16692,-0.762662722,,,,,,
AIPGENE28071,-0.677014573,,,,,,
AIPGENE28968,-6,,,,,,
AIPGENE12701,-2.272741218,,,,,,
AIPGENE6660,-0.55075709,,,,,,
AIPGENE18009,-2.451218959,,,,,,
AIPGENE24130,-1.800425497,,,,,,
AIPGENE7785,-1.887151765,,,,,,
AIPGENE9166,-0.493384741,,,,,,
AIPGENE9903,-1.35871857,,,,,,
AIPGENE13889,-6,,,,,,
AIPGENE7644,-0.858826621,,,,,,
AIPGENE19125,-6,,,,,,
AIPGENE24596,-0.652797827,,,,,,
AIPGENE7794,-1.632316895,,,,,,
AIPGENE18167,-1.523417869,,,,,,
AIPGENE13229,-2.23204114,,,,,,
AIPGENE26245,-2.58094619,,,,,,
AIPGENE14304,-0.713906392,,,,,,
AIPGENE1912,-1.603345679,,,,,,
AIPGENE12314,-1.742723711,,,,,,
AIPGENE2534,-2.973526059,,,,,,
AIPGENE28713,-0.926333975,,,,,,
AIPGENE10929,-0.51312988,,,,,,
AIPGENE23012,-1.443268486,,,,,,
AIPGENE5865,-6,,,,,,
AIPGENE22896,-0.949977526,,,,,,
AIPGENE1000,-0.851919732,,,,,,
AIPGENE10882,-6,,,,,,
AIPGENE25448,-2.736654404,,,,,,
AIPGENE19527,-6,,,,,,
AIPGENE9033,-2.952276776,,,,,,
AIPGENE28909,-3.085177212,,,,,,
AIPGENE7761,-2.418586537,,,,,,
AIPGENE1645,-1.092400114,,,,,,
AIPGENE15147,-1.187699359,,,,,,
AIPGENE211,-3.056523924,,,,,,
AIPGENE25055,-6,,,,,,
AIPGENE8092,-2.710532116,,,,,,
AIPGENE25480,-1.884489348,,,,,,
AIPGENE4263,-0.366821704,,,,,,
AIPGENE9674,-0.363102656,,,,,,
AIPGENE8076,-0.573647951,,,,,,
AIPGENE13397,-0.997326195,,,,,,
AIPGENE22741,-0.866696271,,,,,,
AIPGENE6808,-6,,,,,,
AIPGENE9987,-0.916530249,,,,,,
AIPGENE3576,-6,,,,,,
AIPGENE21500,-0.590053327,,,,,,
AIPGENE23221,-1.398972065,,,,,,
AIPGENE3874,-1.208461745,,,,,,
AIPGENE3368,-0.753767239,,,,,,
AIPGENE8354,-2.951948112,,,,,,
AIPGENE10675,-6,,,,,,
AIPGENE25773,-0.726864071,,,,,,
AIPGENE1415,-1.069367209,,,,,,
AIPGENE7892,-0.340214436,,,,,,
AIPGENE5996,-0.300350384,,,,,,
AIPGENE9436,-0.868400435,,,,,,
AIPGENE28230,-6,,,,,,
AIPGENE7515,-1.062467907,,,,,,
AIPGENE17936,-2.42024715,,,,,,
AIPGENE42,-1.54572496,,,,,,
AIPGENE27172,-0.609183097,,,,,,
AIPGENE15248,-0.690570863,,,,,,
AIPGENE19584,-0.908075316,,,,,,
AIPGENE24553,-1.84167094,,,,,,
AIPGENE163,-6,,,,,,
AIPGENE15368,-0.755478544,,,,,,
AIPGENE27722,-1.603717325,,,,,,
AIPGENE12895,-1.525876969,,,,,,
AIPGENE9142,-1.169338518,,,,,,
AIPGENE28696,-2.489842234,,,,,,
AIPGENE24260,-6,,,,,,
AIPGENE2084,-6,,,,,,
AIPGENE22194,-1.452472438,,,,,,
AIPGENE12058,-2.806169484,,,,,,
AIPGENE14486,-0.596389006,,,,,,
AIPGENE9876,-1.817878457,,,,,,
AIPGENE4696,-6,,,,,,
AIPGENE16099,-0.392540652,,,,,,
AIPGENE28315,-0.431409013,,,,,,
AIPGENE25200,-3.088646104,,,,,,
AIPGENE10688,-2.406795108,,,,,,
AIPGENE19292,-2.028629365,,,,,,
AIPGENE22392,-0.437163591,,,,,,
AIPGENE4821,-6,,,,,,
AIPGENE9771,-6,,,,,,
AIPGENE11126,-1.110995187,,,,,,
AIPGENE2562,-1.423757087,,,,,,
AIPGENE11060,-1.026343791,,,,,,
AIPGENE15191,-3.170503705,,,,,,
AIPGENE15198,-0.393308456,,,,,,
AIPGENE22774,-1.19503421,,,,,,
AIPGENE20588,-1.771242428,,,,,,
AIPGENE3575,-6,,,,,,
AIPGENE256,-2.152353746,,,,,,
AIPGENE21506,-0.912909657,,,,,,
AIPGENE9039,-6,,,,,,
AIPGENE3848,-3.233702646,,,,,,
AIPGENE26467,-0.416972651,,,,,,
AIPGENE10241,-0.58620562,,,,,,
AIPGENE12236,-1.910796474,,,,,,
AIPGENE24476,-6,,,,,,
AIPGENE15900,-6,,,,,,
AIPGENE9425,-1.849108761,,,,,,
AIPGENE28911,-6,,,,,,
AIPGENE11867,-2.73718159,,,,,,
AIPGENE17904,-0.447810065,,,,,,
AIPGENE11508,-0.857298637,,,,,,
AIPGENE5363,-0.7905274,,,,,,
AIPGENE8352,-6,,,,,,
AIPGENE27337,-0.601237133,,,,,,
AIPGENE2331,-0.790047764,,,,,,
AIPGENE24724,-6,,,,,,
AIPGENE15175,-2.232642295,,,,,,
AIPGENE21816,-1.331872862,,,,,,
AIPGENE20883,-0.41581768,,,,,,
AIPGENE26409,-1.515230376,,,,,,
AIPGENE490,-0.447329661,,,,,,
AIPGENE8922,-2.605816886,,,,,,
AIPGENE14771,-0.42096294,,,,,,
AIPGENE2041,-0.952635209,,,,,,
AIPGENE24492,-0.451804006,,,,,,
AIPGENE11629,-2.210528192,,,,,,
AIPGENE7575,-0.855925902,,,,,,
AIPGENE14749,-2.91096757,,,,,,
AIPGENE28108,-1.226503845,,,,,,
AIPGENE19142,-1.29863231,,,,,,
AIPGENE23917,-0.400771742,,,,,,
AIPGENE27185,-6,,,,,,
AIPGENE10103,-0.71999232,,,,,,
AIPGENE22389,-3.084814217,,,,,,
AIPGENE14756,-1.044407041,,,,,,
AIPGENE4549,-2.334978539,,,,,,
AIPGENE4980,-1.088064141,,,,,,
AIPGENE23959,-1.303199213,,,,,,
AIPGENE12866,-0.39690507,,,,,,
AIPGENE12646,-3.141690625,,,,,,
AIPGENE15167,-0.610525573,,,,,,
AIPGENE26236,-0.358976811,,,,,,
AIPGENE21103,-1.750765246,,,,,,
AIPGENE17259,-1.548735956,,,,,,
AIPGENE8621,-2.407573589,,,,,,
